registered_business_name,facility_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
CAROMA INDUSTRIES LTD,Caroma Industries Ltd,VIC,Coburg,148 SUSSEX ST,3058,2029,Other Ceramic Product Manufacturing,Manufacture of vitreous china sanitary ware,35000189499,000189499,http://www.caroma.com.au,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2006/jurisdiction-facility/00004222
CARTER HOLT HARVEY PLYWOOD PTY LTD,CHH Morwell Sawmill,VIC,Hazelwood North,340 TRAMWAY RD,3840,1411,Log Sawmilling,Processing of timber for the building industry.,,002993106,http://www.chh.com,2017/2018,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2018/jurisdiction-facility/00004617
CARTER HOLT HARVEY WOODPRODUCTS (SOUTHERN REGION) PTY LIMITED,Lakeside Sawmill,SA,Mount Gambier,MILLICENT RD,5290,1411,Log Sawmilling,Timber Processing,29130911269,,,2012/2013,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2013/jurisdiction-facility/SA0037
CASELLA,CASELLA,QLD,Jimboomba,68 Maryland Street,4280,0171,Poultry Farming (Meat),Chicken Farming,,,,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2004/jurisdiction-facility/Q086ILB017
CASEY CITY COUNCIL,Casey Joint Venture User Group,VIC,Cranbourne,"LOT 7,8,9,10,11 & 12 STEVENSONS RD",3977,2921,Waste Treatment and Disposal Services,Landfilling,43320295742,,http://www.casey.vic.gov.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00022771
CASSOWARY COAST REGIONAL COUNCIL,Bells Creek Landfill and Transfer Station,QLD,El Arish,BETRIDGE RD,4855,2921,Waste Treatment and Disposal Services,waste storage landfill,20889787211,,,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2012/jurisdiction-facility/Q058JSC004
CCL SECURE PTY LTD,CCL Secure,VIC,Craigieburn,1 POTTER ST,3064,1611,Printing,Security printing - gravure on polymer,13072353452,072353452,http://www.cclsecure.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00019576
CEMENT AUST HOLDINGS P/L,Railton Works,TAS,Railton,CEMENT WORKS RD,7305,2031,Cement and Lime Manufacturing,Cement manufacturing (except adhesive or refractory),99001085561,001085561,http://www.cemaust.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/TAS/year/2024/jurisdiction-facility/TAS+68
CEMENT AUSTRALIA (KANDOS) PTY LIMITED,Kandos Cement Plant and Mine,NSW,Kandos,Jamieson Street,2848,2031,Cement and Lime Manufacturing,Limestone mining and cement production,56004158972,004158972,http://www.cemaust.com.au,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2012/jurisdiction-facility/415
CEMENT AUSTRALIA (QUEENSLAND) PTY LTD,Bulwer Island,QLD,Pinkenba,77 PAMELA ST,4008,2031,Cement and Lime Manufacturing,Cement manufacturing (except adhesive or refractory),70009658520,009658520,http://www.cemaust.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q050QCL001
CEMEX AUSTRALIA PTY LIMITED,SWAN POSTANS QUARRY,WA,Postans,569 POSTANS RD,6167,0919,Other Construction Material Mining,Extractive industries - quarrying,87099732297,099732297,,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2008/jurisdiction-facility/WA0388
CEMEX AUSTRALIA PTY LTD,Lyndhurst Quarry,VIC,Hampton Park,274 HALLAM RD,3976,0911,Gravel and Sand Quarrying,Gravel and sand quarrying,87099732297,099732297,,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2008/jurisdiction-facility/00004520
