facility_name,Emission_Weighted_Score,name_clean,tender_score_exact,matched_name,match_score,tender_score,Emission_Scaled,Tender_Scaled,Final_Score,Relevance
Geelong Automotive,16.88,geelong automotive,0.00,,51.61,0.00,0.25,0.00,0.18,Low
Boronia,16.96,boronia,0.00,,55.56,0.00,0.26,0.00,0.18,Low
Perfection Packaging,16.64,perfection packaging,0.00,,62.86,0.00,0.25,0.00,0.18,Low
Portland Pine,8.00,portland pine,0.00,portland pine products proprietary,100.00,1.60,0.12,0.32,0.18,Low
CRAIGIEBURN,16.57,craigieburn,0.00,,47.37,0.00,0.25,0.00,0.17,Low
WINCHESTER AUST LTD,3.43,winchester aust,2.20,winchester aust,100.00,2.20,0.05,0.44,0.17,Low
NovaPower Traralgon,14.87,novapower traralgon,0.00,,57.89,0.00,0.22,0.00,0.16,Low
OneSteel Martin Bright,3.10,onesteel martin bright,0.00,onesteel nsw,80.00,2.20,0.05,0.44,0.16,Low
STEELE & LINCOLN FOUNDRY (VIC) P/L,2.56,steele and lincoln foundry vic p l,0.00,allen foundry,70.00,2.20,0.04,0.44,0.16,Low
BILLMAN'S FOUNDRY PTY LTD,3.07,billman s foundry,2.20,billman s foundry,100.00,2.20,0.05,0.44,0.16,Low
Sunshine,7.17,sunshine,0.00,sunshine coast regional council,100.00,1.48,0.11,0.30,0.16,Low
J Furphy & Sons Pty Ltd,3.85,j furphy and sons,0.00,j furphy and sons proprietary,100.00,1.60,0.06,0.32,0.14,Low
BENDIGO BRICK P/L,11.30,bendigo brick p l,0.00,,59.46,0.00,0.17,0.00,0.12,Low
Geelong Distribution Centre,10.29,geelong distribution centre,0.00,,57.69,0.00,0.15,0.00,0.11,Low
GAINSBOROUGH HARDWARE INDUSTRIES LIMITED,3.83,gainsborough hardware industries,1.12,gainsborough hardware industries,100.00,1.12,0.06,0.22,0.11,Low
Minerva Gas Projects No. 3 and 4,10.28,minerva gas projects no 3 and 4,0.00,,53.85,0.00,0.15,0.00,0.11,Low
Riversdale Mill,9.62,riversdale mill,0.00,,55.56,0.00,0.14,0.00,0.10,Low
"AUST GOLD ALLIANCE P/L,GOLD CORP&JOHNSON",3.00,aust gold alliance p l gold corp and johnson,0.00,ers aust p l,80.00,1.12,0.05,0.22,0.10,Low
Boral Quarry Sandy Creek,9.20,boral quarry sandy creek,0.00,,63.41,0.00,0.14,0.00,0.10,Low
Lang Lang,8.32,lang lang,0.00,,54.55,0.00,0.13,0.00,0.09,Low
Dairy Farmers Shepparton,8.70,dairy farmers shepparton,0.00,,56.52,0.00,0.13,0.00,0.09,Low
Fisher's Timber Preservation,3.56,fisher s timber preservation,0.00,,63.16,0.00,0.05,0.00,0.04,Low
Allegion Door and Access Systems - Brooklyn,3.86,allegion door and access systems brooklyn,0.00,,61.54,0.00,0.06,0.00,0.04,Low
Scoresby Plant,3.11,scoresby plant,0.00,,51.85,0.00,0.05,0.00,0.03,Low
SDI LIMITED,2.00,sdi,0.00,,50.00,0.00,0.03,0.00,0.02,Low
