rank,registered_business_name,abn,anzsic_code,number_of_tenders,anzsic_score,tender_score,lead_score
678,GEORGE CHAPMAN PTY LTD,95007873193,1111,12,3,2.2,2.68
679,GEORGE WESTON FOODS LTD,45008429632,1111,10,3,2.2,2.68
680,GERALDTON BRICKWORKS PTY LTD,85008685836,2021,12,3,2.2,2.68
681,GERSEKOWSKI & SON PTY LTD,54066290408,1411,12,3,2.2,2.68
682,GLASSMETAL INDUSTRIES PTY LTD,81006652259,2010,59,3,2.2,2.68
683,GRAYMONT (CHARBON) PTY LTD,71063659610,2031,12,3,2.2,2.68
684,SIBELCO LIME (VICTORIA) PTY LTD,78055274569,2031,12,3,2.2,2.68
685,GREENHAM GIPPSLAND PTY LTD,85622028728,1111,12,3,2.2,2.68
686,GREENLANDS TIMBER PTY LTD,28086264913,1411,12,3,2.2,2.68
687,GUILDTOWN PTY LTD,15007264280,1499,12,3,2.2,2.68
688,GYMPIE TIMBER CO PTY LTD,47009684342,1411,12,3,2.2,2.68
689,HALLETT BRICK PTY LTD,20007622317,2021,12,3,2.2,2.68
690,HENRY JONES FOODS PTY LTD,93636288474,1131,12,3,2.2,2.68
691,MOMENTIVE SPECIALTY CHEMICALS PTY LTD,32004271827,1821,12,3,2.2,2.68
692,HIGHLAND PINE PRODUCTS PTY LIMITED,81093059404,1411,13,3,2.2,2.68
693,HISMELT (OPERATIONS) PTY LTD,73008751317,2110,34,3,2.21,2.68
694,HOLDFAST TIMBERS PTY LTD,22478985281,1411,12,3,2.2,2.68
695,ILLAWARRA COKE COMPANY PTY LTD,85000009807,2110,14,3,2.2,2.68
696,INPRINT PTY LTD,77010728971,1611,35,3,2.21,2.68
697,INSTITUTE OF DRUG TECHNOLOGY AUST LTD,66006522970,1841,36,3,2.21,2.68
698,PRO-PAC GROUP PTY LIMITED,50095393776,1911,63,3,2.21,2.68
699,ITC TIMBER TASMANIA PTY LTD,93081613710,1413,12,3,2.2,2.68
700,ITREAT TIMBER PTY LTD,76131121616,1499,12,3,2.2,2.68
701,J & P FLEXOGRAPHICS PTY LTD,48006860233,1611,12,3,2.2,2.68
702,JETSTAR ENTERPRISES PTY LTD,94098804436,1413,43,3,2.2,2.68
703,JUST BLINDS AND SHUTTERS PTY LTD,13002422442,1492,16,3,2.2,2.68
704,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97009377619,2139,18,3,2.2,2.68
705,KARORA (LAKEWOOD) PTY LTD,60659952066,2139,12,3,2.2,2.68
706,KOPPERS WOOD PRODUCTS PTY LTD,81003947680,1413,25,3,2.2,2.68
707,LACHLAN INDUSTRIES PTY LTD,80001185928,1311,59,3,2.2,2.68
708,LAMINEX GROUP PTY LIMITED,98004093092,1499,64,3,2.21,2.68
709,LEADING SYNTHETICS PTY LTD,78061744849,1821,12,3,2.2,2.68
710,LIBERTY BELL BAY PTY LTD,23004456035,2110,13,3,2.2,2.68
711,LONGWARRY FOOD PARK PTY LTD,78097262934,1131,12,3,2.2,2.68
712,M & J ARMSTRONG ENTERPRISES PTY LTD,99163689567,1411,35,3,2.2,2.68
713,M G NUTRITIONALS PTY LTD,89095407257,1131,13,3,2.2,2.68
714,M.C. HERD PROPRIETARY LIMITED,80004289927,1111,14,3,2.2,2.68
715,MCCORMACK DEMBY TIMBER PTY LTD,30124794618,1411,12,3,2.2,2.68
716,MCDONNELL INDUSTRIES PTY LTD,70007746536,1411,60,3,2.2,2.68
717,MENTHOLATUM AUSTRALASIA PTY LTD,62005414488,1841,47,3,2.2,2.68
718,MERINO PTY LTD,16054622123,1521,21,3,2.2,2.68
719,METROMEDIA TECHNOLOGIES INT INC,92007510018,1611,16,3,2.2,2.68
720,MIDFIELD CO-PRODUCTS PTY LTD,58005186434,1111,25,3,2.2,2.68
721,MIDFIELD MEAT PROCESSING PTY LTD,15006971508,1111,12,3,2.2,2.68
722,MIDLAND BRICK PTY LTD,93635664710,2021,12,3,2.2,2.68
723,MIKES PLASTIC BAGS PTY LTD,69005957620,1611,12,3,2.2,2.68
724,MULGILDIE SAWMILLING CO PTY LTD,99009738014,1411,12,3,2.2,2.68
725,MULLER SAWMILLS PTY LTD,45009734105,1411,12,3,2.2,2.68
726,MURRAY BRIDGE BACON PTY LTD,23078020694,1111,12,3,2.2,2.68
727,NARASELL PTY LTD,56211021320,1111,12,3,2.2,2.68
728,NK COLLINS INDUSTRIES PTY LTD,70009716456,1411,59,3,2.2,2.68
729,NOLAN MEATS PTY LTD,81096869304,1111,16,3,2.2,2.68
730,NORTHERN IRON & BRASS FOUNDRY PTY LTD,83078991803,2110,12,3,2.2,2.68
731,NORTHERN SMELTERS PTY LTD,95009832393,2139,12,3,2.2,2.68
732,O.E. & D.R. POPE PTY. LTD.,17007645810,1911,12,3,2.2,2.68
733,OAKEY BEEF EXPORTS PTY. LTD,57009677598,1111,12,3,2.2,2.68
734,OCEANIA GLASS PTY LTD,99630152206,2010,43,3,2.2,2.68
735,ONESTEEL NSW PTY LTD,59003312892,2121,23,3,2.2,2.68
736,PMP PRINT PTY LTD,76051706499,1611,47,3,2.21,2.68
737,OVERALL FORGE PTY LTD,13000092946,2210,12,3,2.2,2.68
738,PARKSIDE BUILDING SUPPLIES PTY LTD,46009802144,1411,19,3,2.2,2.68
739,PEACHESTER SAWMILLING CO PTY LTD,51009710258,1411,12,3,2.2,2.68
740,VIADUX PTY LTD,75087415745,2121,12,3,2.2,2.68
741,PINEWOOD PRODUCTS PTY LTD,71125426511,1413,25,3,2.2,2.68
742,PLANTATION TREATED TIMBER PTY LTD,40165639798,1499,12,3,2.2,2.68
743,POTTERS INDUSTRIES PTY LTD,38000096293,2010,61,3,2.2,2.68
744,Q C BRICKS PTY LTD,41091895724,2021,13,3,2.2,2.68
745,QUALITY CASTINGS PTY LTD,13000045518,2121,13,3,2.2,2.68
746,QUEENSLAND NICKEL SALES PTY LTD,15009872566,2139,12,3,2.2,2.68
747,QUEENSLAND SAWMILLS PTY LTD,17009667645,1411,12,3,2.2,2.68
748,QUEENSLAND TISSUE PRODUCTS PTY LTD,87100661685,1510,25,3,2.2,2.68
749,REELPRINT PTY LTD,60105935064,1611,13,3,2.2,2.68
750,REGAL CREAM PRODUCTS PTY LTD,11005144481,1131,25,3,2.2,2.68
751,REID BROS TIMBER PTY LTD,72118338211,1411,12,3,2.2,2.68
752,RICHDALE PLASTICS PTY LTD,27606002564,1911,14,3,2.2,2.68
753,RIVERINA FRESH PTY LTD,45614298314,1131,17,3,2.2,2.68
754,RIVERINA WOOL COMBING PTY LTD,66001799935,1311,12,3,2.2,2.68
755,ROBERTSON BROTHERS SAWMILLS PTY LTD,80010242083,1411,12,3,2.2,2.68
756,ROCLA PTY LIMITED,31000032191,2034,19,3,2.2,2.68
757,ROLLSPACK PTY LTD,46073330444,1611,12,3,2.2,2.68
758,RPG (SA) PTY LTD,53122181122,2299,17,3,2.2,2.68
759,RTA YARWUN PTY LTD,73137266301,2131,12,3,2.2,2.68
760,SA PINE PTY LTD,48160064880,1499,15,3,2.2,2.68
761,SA SAWMILLING PTY LTD,30077544462,1413,12,3,2.2,2.68
762,SANOFI-AVENTIS HEALTHCARE PTY LTD,43076651959,1841,18,3,2.2,2.68
763,SEVEN POINT PORK PTY LTD,31088688975,1111,12,3,2.2,2.68
764,SHELTON TIMBER TREATMENT CO PTY LTD,55004390185,1413,12,3,2.2,2.68
765,SHINAGAWA THERMAL CERAMICS PTY LTD,81082371891,2029,12,3,2.2,2.68
766,SHOWERAMA PRODUCTS PTY LTD,40009799848,2511,25,3,2.2,2.68
767,SIMCOA OPERATIONS PTY LTD,42009064653,2139,25,3,2.2,2.68
768,SIMON PTY LTD,36009667725,1411,131,3,2.2,2.68
769,SLACKS HARDWOOD MILLING PTY LTD,73151619117,1411,12,3,2.2,2.68
770,SORBENT PAPER COMPANY PTY LTD,62004191324,1510,14,3,2.2,2.68
771,SOUTH32 WORSLEY ALUMINA PTY LTD,58008905155,2131,12,3,2.2,2.68
772,SOUTHERN CROSS FERTILISERS PTY LTD,30004936850,1831,23,3,2.2,2.68
773,SOUTHERN MEATS PTY LTD,51003111528,1111,16,3,2.2,2.68
774,ST OLIVE AND SONS PTY LTD,45009826957,1411,16,3,2.2,2.68
775,SUPERIOR WOOD PTY LTD,95154686772,1413,15,3,2.2,2.68
776,SWICKERS KINGAROY BACON FACTORY PTY LTD,35009678693,1111,12,3,2.2,2.68
777,TABRO MEAT PTY LTD,85005517019,1111,12,3,2.2,2.68
778,TAGHLEEF INDUSTRIES PTY LTD,51005893112,1911,59,3,2.2,2.68
779,TAMAREE LIME PTY LTD,71009955864,2031,12,3,2.2,2.68
780,TARMAC (S.A.) PTY. LTD.,17008013901,1413,14,3,2.2,2.68
781,TAS PAPER PTY LTD,65135318204,1510,44,3,2.2,2.68
782,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,89069426955,2110,80,3,2.21,2.68
783,THE KING ISLAND COMPANY PTY. LTD.,36006658500,1131,22,3,2.2,2.68
